State Name,county Name,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,San Diego,12/12/2015,69,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/13/2015,59,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/14/2015,68,Moderate,PM2.5,06-073-1011,14
California,San Diego,12/15/2015,61,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/16/2015,56,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/17/2015,65,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/18/2015,77,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/19/2015,78,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/20/2015,56,Moderate,PM2.5,06-073-1019,14
California,San Diego,12/21/2015,76,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/22/2015,37,Good,Ozone,06-073-1019,12
California,San Diego,12/23/2015,58,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/24/2015,84,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/25/2015,58,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/26/2015,92,Moderate,PM2.5,06-073-1011,13
California,San Diego,12/27/2015,73,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/28/2015,62,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/29/2015,78,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/30/2015,63,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/31/2015,95,Moderate,PM2.5,06-073-1019,12
California,San Diego,1/1/2016,92,Moderate,PM2.5,06-073-1019,14
California,San Diego,1/2/2016,70,Moderate,PM2.5,06-073-1019,12
California,San Diego,1/3/2016,78,Moderate,PM2.5,06-073-1019,12
California,San Diego,1/4/2016,56,Moderate,PM2.5,06-073-1019,12
California,San Diego,1/5/2016,51,Moderate,PM2.5,06-073-1011,12
California,San Diego,1/6/2016,71,Moderate,PM2.5,06-073-1011,12
California,San Diego,1/7/2016,52,Moderate,PM2.5,06-073-1011,14
California,San Diego,1/8/2016,63,Moderate,PM2.5,06-073-1019,12
